Season,TeamID,TeamName,APRank,KenPom,Seed,TourneyWins,Appearances,WFlag,LFlag,RankW,RankL,LastTenW,LastTenL,HomeW,HomeL,AwayW,AwayL,NeutW,NeutL,Points,PointsAllowed,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGM_Allowed,FGA_Allowed,FGM3_Allowed,FGA3_Allowed,FTM_Allowed,FTA_Allowed,OR_Allowed,DR_Allowed,Ast_Allowed,TO_Allowed,St_Allowed,Bk_Allowed,PF_Allowed
2003,1160,colorado,,28,10,0,6,20,11,3,5,6,4,14,1,3,9,3,1,75.5161,70.0645,27.1935,61.3226,4.9677,15.2581,16.1613,23.9355,14.4839,27.9677,13.3871,14.0000,6.1290,6.6452,17.7097,25.3871,63.3548,6.7419,19.7742,12.5484,18.4839,13.5161,23.1935,13.3226,12.5484,6.0645,3.3548,19.9032
2003,1161,colorado st,,87,14,0,5,17,13,0,0,5,5,12,4,3,9,2,0,74.0000,72.6667,26.4000,52.1000,4.2000,11.5667,17.0000,24.2667,10.8000,23.4667,15.5000,16.1333,5.3333,4.2333,20.5667,25.8333,57.4667,5.6333,16.3333,15.3667,22.3333,12.0000,19.0667,13.2333,12.2333,9.0333,3.0667,21.3000
2003,1163,connecticut,23,23,5,2,20,21,9,3,3,6,4,14,2,5,6,2,1,80.0333,71.4000,29.5333,62.2000,6.0667,15.7000,14.9000,22.1000,14.7667,27.9000,15.6333,15.8000,5.9333,7.7333,18.4000,24.8667,65.3667,6.4333,20.1333,15.2333,21.0000,15.3333,21.5000,13.6000,13.3667,7.8000,4.1333,19.2667
2003,1166,creighton,15,27,6,0,14,29,4,1,1,8,2,17,0,7,4,5,0,79.2424,64.3333,28.6970,57.4545,7.9697,20.4848,13.8788,20.0303,10.8788,23.1818,16.8182,13.3636,8.3939,4.4545,17.2727,23.8788,55.3333,4.8788,14.3030,11.6970,16.6970,11.0606,21.3636,12.3636,17.0606,6.3333,2.5758,19.3939
2003,1173,dayton,16,31,4,0,10,24,5,1,3,8,2,17,1,7,4,0,0,72.7931,66.3103,24.4828,54.2069,7.5172,20.8621,16.3103,22.7931,13.4828,23.1724,15.2069,13.3103,5.3793,2.9310,17.5862,23.8966,56.5862,5.9310,16.2414,12.5862,17.5862,12.1724,19.2759,11.7931,11.8621,5.8276,2.8276,19.7241
2003,1181,duke,7,8,3,2,34,24,6,3,2,8,2,15,0,3,6,6,0,81.9667,70.4000,27.3667,60.3333,7.3333,20.6000,19.9000,28.0667,13.7667,23.1000,13.8333,14.0333,8.5000,5.1333,21.2667,25.0667,57.1667,4.9333,14.4667,15.3333,21.9667,12.2000,22.6333,12.3333,17.8333,6.4333,4.1000,23.2000
2003,1190,east tenn. st.,,147,15,0,9,17,10,0,0,8,2,8,2,5,8,4,0,79.7037,77.4815,28.0741,61.4074,5.2222,15.1852,18.3333,24.8148,14.0000,24.0370,14.0370,18.7407,10.7037,5.2593,19.5185,27.5556,62.4815,7.1111,19.8519,15.2593,20.9630,13.8519,22.5185,16.8889,18.8889,8.2963,4.4815,20.5556
2003,1196,florida,10,6,2,1,22,24,7,4,4,6,4,15,1,7,3,2,3,75.9032,64.6774,26.9355,56.5161,8.6774,22.1290,13.3548,18.9355,10.8065,24.2581,16.4194,13.3871,7.7742,4.0968,16.9032,24.2258,57.2581,5.8065,17.7419,10.4194,16.0000,11.9677,21.7419,14.5161,15.0645,6.4839,3.4194,17.4194
2003,1211,gonzaga,,41,9,1,22,23,8,0,3,7,3,11,2,9,2,3,4,77.0645,68.1935,26.0645,55.4516,7.1613,19.0645,17.7742,24.6452,11.9355,25.3226,15.7419,14.5484,6.8065,3.5161,18.6452,23.9032,56.2581,7.4516,20.0323,12.9355,18.7419,10.0968,21.0000,13.7419,14.8710,6.9032,2.0968,20.7742
2003,1221,holy cross,,80,14,0,6,25,4,0,1,10,0,11,0,10,3,4,1,69.3448,58.2069,24.2069,52.7241,5.3103,14.7586,15.6207,22.1379,12.0690,24.3103,15.4138,13.9310,7.9655,4.4828,18.3793,20.6897,50.7241,5.1034,15.6207,11.7241,17.7586,8.7586,19.5862,11.8966,15.4138,6.6207,2.7586,20.2069
2003,1228,illinois,11,5,4,1,22,24,6,2,2,8,2,14,0,3,6,7,0,75.4333,61.4000,27.1000,55.8000,7.4333,20.1667,13.8000,19.1000,9.7333,25.4000,18.2667,13.1667,7.0000,3.1000,19.1333,20.3333,54.0667,5.7000,19.1000,15.0333,21.2333,11.1333,21.2000,11.0333,14.8333,5.7000,2.5000,18.2000
2003,1231,indiana,,46,7,1,25,20,12,2,5,6,4,11,1,2,9,7,2,70.5313,67.0000,23.4375,54.9375,7.5313,21.6250,16.1250,22.6250,11.2188,25.6250,13.8125,11.5000,4.4375,5.3438,18.0625,24.2813,58.8438,4.7188,16.3750,13.7188,19.1875,12.1250,24.1563,11.9688,10.5000,6.3438,3.5313,20.1563
2003,1237,indiana - purdue,,133,16,0,1,19,13,0,2,8,2,8,3,7,8,4,2,71.2500,70.4063,24.4375,53.9375,6.5000,18.5938,15.8750,22.6250,11.6875,20.9063,13.3750,15.9063,8.1875,1.8125,19.3438,25.5938,53.6875,6.6250,18.4688,12.5938,18.5625,10.5625,21.5938,16.0938,16.8438,6.7500,3.7813,20.0938
2003,1242,kansas,6,4,2,5,34,23,7,3,4,8,2,13,1,7,2,3,4,81.3333,66.3667,30.2333,62.3000,4.8000,14.1333,16.0667,24.1333,14.3000,26.9000,16.7333,14.9000,10.1333,4.9000,16.7000,24.6000,60.5333,6.6333,18.3333,10.5333,15.2667,11.5333,22.5000,11.9000,17.3000,6.8333,4.4000,20.0000
2003,1246,kentucky,1,1,1,3,30,29,3,7,1,10,0,12,1,10,1,7,1,77.5313,64.0938,28.4688,58.4063,5.9063,16.5938,14.6875,20.7813,12.8750,24.1563,16.1875,14.0625,7.8125,5.0938,17.3750,23.0000,55.7813,5.7813,17.6250,12.3125,18.0625,11.1875,19.9688,10.7500,16.4688,6.1875,3.5313,18.4375
2003,1257,louisville,14,14,4,1,26,24,6,3,2,6,4,16,2,8,3,0,1,81.8333,68.4667,27.9667,60.8333,8.4333,23.4000,17.4667,25.1000,13.2000,25.1000,16.6000,13.3667,7.2000,4.7333,22.6667,22.5333,55.9667,5.1000,16.7333,18.3000,26.3667,12.8667,23.6000,11.9333,17.4000,5.7667,2.4333,22.6000
2003,1261,louisiana state,,21,8,0,16,21,10,3,5,8,2,16,2,2,6,3,2,73.2258,62.9032,26.8065,55.0645,6.7419,17.5806,12.8710,19.8710,10.6129,24.5161,16.3871,13.8710,8.0000,4.1613,16.3548,22.8710,56.1290,6.2903,18.0968,10.8710,16.2903,11.3226,21.4194,11.3548,15.5484,7.3871,2.4839,18.4516
2003,1264,manhattan,,63,14,0,6,23,6,0,1,7,3,7,2,12,3,4,1,76.1724,67.7586,25.9310,57.5517,5.5172,15.8276,18.7931,23.8966,11.3103,23.3103,13.8621,14.2069,9.1724,3.8966,21.9310,23.0690,55.4138,4.3448,13.6207,17.2759,23.8621,12.6207,23.0345,11.6897,17.7241,7.0345,4.3448,20.6897
2003,1266,marquette,9,13,3,4,16,23,5,3,3,8,2,15,1,7,3,1,1,78.3929,67.6786,27.2143,56.2500,5.7857,15.2500,18.1786,23.6071,13.1071,24.0714,16.3214,13.5714,6.0000,3.6429,18.6429,23.8214,58.6786,6.7143,20.5000,13.3214,19.1429,12.6786,18.5714,12.9643,12.5000,6.4643,2.4643,20.7500
2003,1268,maryland,17,19,6,2,21,19,9,2,4,5,5,14,2,4,4,1,3,80.7857,66.8571,29.4286,63.3571,6.7500,16.9643,15.1786,21.5714,13.7500,26.7500,18.8929,14.1071,10.8929,6.6071,19.0000,22.9286,60.5714,6.5000,20.7857,14.5000,20.8929,14.3214,23.6071,12.8929,18.3214,7.1429,4.6786,19.1429
2003,1272,memphis,19,20,7,0,18,23,6,3,2,9,1,14,2,7,4,2,0,74.5172,65.8276,26.2759,60.0000,7.0000,20.0690,14.9655,22.8966,14.0690,25.9655,16.6207,13.7931,7.3793,5.0690,18.7586,23.2759,57.8621,5.8966,18.3103,13.3793,20.7241,12.3448,23.5862,13.3103,15.0690,7.2759,3.1724,19.9310
2003,1277,michigan st,,25,7,3,29,19,12,2,4,6,4,14,2,3,6,2,4,67.2258,60.9677,23.0323,51.0968,4.9032,13.3871,16.2581,22.1290,10.6774,24.2581,13.6129,14.5484,6.3871,3.7097,20.0323,20.1613,50.3226,5.7742,17.0645,14.8710,20.7419,9.3226,20.2258,11.1613,14.2903,6.4194,3.2903,20.2581
2003,1280,mississippi st,20,11,5,0,10,21,9,2,4,6,4,12,2,4,6,5,1,70.1667,60.1667,26.3333,55.8000,5.5667,16.2000,11.9333,17.6333,12.6667,24.6000,14.5000,15.6333,8.7333,3.7333,15.9000,21.7333,54.1667,6.2333,18.9667,10.4667,15.6000,10.9000,20.1333,9.9667,16.1000,7.7333,3.0000,17.1667
2003,1281,missouri,24,24,6,1,20,21,10,3,6,6,4,14,1,3,7,4,2,71.7742,66.4839,26.1613,59.1935,7.4839,20.9677,11.9677,18.1613,13.4839,25.9032,13.7419,13.6129,5.7097,4.3226,16.8710,24.1290,59.9355,5.8065,18.1935,12.4194,18.4516,13.1613,23.2581,12.9355,13.1935,6.9032,3.0968,18.1290
2003,1301,n.c. state,,48,9,0,16,18,12,2,6,5,5,13,3,3,7,2,2,72.4000,68.0000,24.3333,53.3333,7.9667,22.5000,15.7667,20.4667,9.7333,22.0333,14.6667,14.2000,7.7667,3.0667,18.6667,23.4333,53.1333,5.7333,17.0000,15.4000,21.2000,10.5333,21.4333,12.5667,14.6333,7.4333,2.8333,19.3333
2003,1323,notre dame,22,22,5,2,18,22,9,4,6,4,6,14,2,4,6,4,1,80.0968,71.1935,27.2258,60.6774,8.2903,21.7742,17.3548,22.8387,11.3871,26.8710,16.9032,12.7742,7.4516,5.6452,16.2258,26.7742,64.7742,6.2258,17.0000,11.4194,16.7419,13.6774,24.8065,15.2258,13.0645,6.5484,4.5161,19.4516
2003,1328,oklahoma,3,9,1,3,26,24,6,3,4,8,2,15,1,5,3,4,2,71.1667,60.1667,25.2667,56.5333,7.4667,18.9667,13.1667,18.6000,12.1333,24.9667,14.1667,11.8000,6.9333,3.7667,18.6000,21.6000,53.3667,4.4333,13.5667,12.5333,18.6333,10.4000,22.4000,10.4667,13.7000,5.1667,2.6667,17.5333
2003,1329,oklahoma st,,29,6,1,19,20,9,3,4,3,7,13,2,5,5,2,2,68.7241,62.2069,24.6552,55.4138,4.8621,12.9655,14.5517,22.3448,12.3793,24.0690,12.2414,14.6552,8.7931,5.5862,20.1379,21.7586,55.8276,5.1034,15.4138,13.5862,20.6897,14.1034,22.4138,11.0000,16.7586,6.7241,3.5862,19.0345
2003,1332,oregon,,42,8,0,12,23,9,2,3,7,3,14,2,5,6,4,1,82.2188,73.9688,28.5938,62.0000,9.0000,23.0000,16.0313,20.6563,11.3750,24.5000,17.4688,15.2188,8.0313,2.7813,20.9375,25.8750,60.7188,5.6875,16.3750,16.5313,23.5625,13.2188,23.6875,11.7500,16.7500,6.4688,3.4688,19.4063
2003,1335,penn,,43,11,0,13,22,5,0,0,10,0,11,2,9,3,2,0,70.1852,59.4074,24.0000,51.5185,9.0000,21.8519,13.1852,18.7778,9.3333,24.1852,14.8519,13.0000,7.1852,2.1481,17.7778,20.7037,51.4815,6.3333,18.5185,11.6667,17.1852,9.3704,21.4444,11.9630,14.4074,6.6667,2.2593,18.8889
2003,1338,pitt,4,2,2,2,19,26,4,4,3,9,1,16,0,7,4,3,0,74.6000,58.8333,26.8667,53.5000,6.3667,17.7667,14.5000,22.8000,11.3000,25.3667,17.7667,15.1000,8.0667,4.1000,17.9667,20.4667,53.3667,5.2333,17.4333,12.6667,18.4000,10.3000,19.7333,11.1000,16.1667,6.1333,3.2667,20.0333
2003,1345,purdue,,38,9,1,26,18,10,3,2,4,6,14,1,3,6,1,3,71.7500,65.2500,23.7500,54.3929,5.1071,15.5000,19.1429,25.5000,10.3929,23.4643,12.2500,13.8214,7.1786,2.9286,19.8214,22.6071,54.5000,5.3571,16.7500,14.6786,20.2857,10.6429,23.4643,12.9643,16.3929,5.4286,3.8214,21.7857
2003,1354,s carolina st,,230,16,0,5,20,10,0,1,7,3,8,2,9,7,3,1,72.8000,71.2667,24.8000,54.3667,5.1667,15.4667,18.0333,25.8000,12.9667,24.2667,10.2667,19.4667,8.0000,2.9000,20.7333,24.0000,57.9333,7.1667,21.2000,16.1000,24.5000,14.2333,21.2000,12.0667,17.4000,9.7000,3.1667,21.7333
2003,1356,s illinois,,57,11,0,9,24,6,1,2,8,2,14,0,8,5,2,1,74.5333,68.1000,27.3667,57.8667,6.1000,15.8333,13.7000,19.4000,10.8333,22.4667,13.5667,12.5000,7.9667,3.2000,19.3333,23.9333,53.8000,6.2000,15.2333,14.0333,20.3333,11.2333,22.9333,12.4667,15.9000,5.1667,2.2667,19.3333
2003,1358,sam houston st,,134,15,0,2,21,6,0,0,9,1,14,0,7,5,0,1,71.7778,65.2593,24.2963,53.3704,6.4815,18.0741,16.7037,23.5185,10.7778,25.9630,15.5926,15.7037,7.8148,5.5926,19.5926,22.4815,57.9630,5.4444,17.3333,14.8519,21.6667,13.3333,22.0370,14.8889,14.8889,7.0370,2.5556,19.2963
2003,1360,san diego,,82,13,0,3,17,11,0,0,8,2,8,5,9,6,0,0,74.6786,71.5714,25.2143,53.5357,6.9286,18.0357,17.3214,26.3214,11.5357,26.3571,16.3929,18.1786,5.3929,3.4286,20.1429,26.0714,60.2143,6.7143,18.8571,12.7143,18.6429,11.2857,21.8929,13.5357,15.1786,7.9286,3.4286,23.4643
2003,1386,saint joseph's,,18,7,0,8,23,6,0,3,7,3,11,1,8,5,4,0,70.6207,59.2759,24.2414,54.4138,8.0345,21.8621,14.1034,20.6552,11.1724,24.1379,14.0000,12.9310,7.2069,5.5517,18.7586,20.1379,54.5517,5.4828,16.6207,13.5172,20.6897,13.4828,21.9310,11.3793,15.2414,6.2069,2.6207,19.4138
2003,1390,stanford,18,30,4,1,16,23,8,3,1,7,3,14,3,7,3,2,2,72.2581,66.9677,25.6452,58.0323,6.9355,19.3871,14.0323,20.7742,13.7419,25.1290,14.6452,14.3226,5.5161,3.3548,18.5161,23.5806,57.8387,5.7419,18.9355,14.0645,19.9677,11.3871,21.5806,11.5484,13.0645,6.7097,2.2903,20.0323
2003,1393,syracuse,13,15,3,6,28,24,5,4,4,8,2,17,0,6,3,1,2,80.1034,69.8966,29.2414,62.2069,5.2414,15.8621,16.3793,23.6207,14.3103,26.8966,14.9655,13.6207,8.3103,7.2759,16.5862,25.2069,64.6207,6.9310,22.5862,12.5517,18.8966,15.7931,22.2759,15.8966,14.4483,6.6207,3.1379,19.7241
2003,1400,texas,5,7,1,4,26,22,6,4,3,8,2,14,0,5,4,3,2,78.8571,68.6786,28.0000,62.4286,5.8571,16.7857,17.0000,23.7857,16.1786,26.1429,14.5000,13.4286,6.3929,3.8571,20.3571,24.3571,59.2143,6.1071,17.6429,13.8571,21.0357,12.9286,22.0000,11.2143,14.1786,6.9643,3.1429,20.4643
2003,1407,troy,,69,14,0,2,25,5,0,0,9,1,9,1,12,3,4,1,79.3667,70.5667,28.2333,65.3333,9.4667,28.3333,13.4333,19.5333,15.0667,24.7000,15.0667,13.7333,9.5333,5.2000,16.6000,25.0333,60.2667,8.1000,24.0667,12.4000,18.1000,13.4333,24.8667,15.0000,17.7333,6.2333,3.8333,18.2000
2003,1409,tulsa,,53,13,1,13,22,9,0,1,9,1,14,3,6,6,2,0,73.5161,65.2581,26.3871,57.0323,6.6452,18.3226,14.0968,19.3871,11.1613,25.8065,14.7742,14.3226,7.5806,5.0000,17.3226,23.2581,58.6129,5.6129,18.1613,13.1290,19.2581,12.7742,22.7097,11.6452,14.4194,6.9677,2.6774,18.7097
2003,1411,texas southern,,268,16,0,8,18,12,0,1,5,5,11,3,4,8,3,1,72.8000,70.8333,24.7333,55.2667,5.9333,18.5000,17.4000,28.0667,13.1667,24.8000,14.2000,15.2333,6.4333,2.2333,18.3000,25.6667,60.4000,7.5333,23.1667,11.9667,18.7333,11.9333,22.8667,13.7667,14.3333,8.0000,2.6000,21.6333
2003,1421,n.c. asheville,,273,16,1,4,13,16,0,3,5,5,10,2,2,14,1,0,71.2069,78.4483,24.3793,56.7931,6.4828,18.0000,15.9655,20.9310,12.2759,23.1724,13.0345,16.2069,7.0690,3.0000,19.1034,27.7931,60.9655,7.6207,20.7586,15.2414,22.5517,13.7241,22.8276,15.8621,12.8276,8.8276,4.2414,18.6897
2003,1423,nc wilmington,,47,11,0,6,24,6,0,1,9,1,11,1,10,5,3,0,71.3667,59.6000,26.0333,56.4000,6.7667,18.4000,12.5333,18.2000,9.9667,23.1333,14.6667,11.4667,9.2000,1.9000,18.4333,20.9333,52.2333,5.6667,18.6000,12.0667,18.2333,11.5000,23.5333,11.0333,16.9333,5.5667,2.6667,17.4000
2003,1428,utah,,37,9,1,16,23,7,0,0,7,3,14,1,7,4,2,2,66.7333,60.0000,23.1667,50.7333,7.1667,18.7667,13.2333,18.8000,10.1333,23.2000,13.2000,12.7000,4.6667,3.7667,20.1000,20.2000,48.7667,4.5667,14.3000,15.0333,21.8667,10.1000,20.8333,10.1667,12.5667,6.0333,2.3667,19.6000
2003,1429,utah st,,109,15,0,11,22,8,0,0,7,3,11,2,6,6,5,0,65.9667,60.1000,23.7000,51.9333,4.0333,12.1333,14.5333,20.2333,12.6333,22.3667,13.9000,12.2333,5.0667,2.0000,16.1000,22.0000,50.8000,5.7667,16.8667,10.3333,14.8333,9.1333,19.0333,11.2333,12.3667,5.0000,2.1000,17.6000
2003,1436,vermont,,144,16,0,7,19,10,0,0,8,2,9,1,7,7,3,2,67.7931,63.1379,24.8276,55.8621,5.2759,15.4828,12.8621,19.5517,12.9655,25.7241,14.2069,14.0690,6.8621,2.9655,15.8966,22.7586,55.0690,7.0690,21.4483,10.5517,15.7586,9.5862,21.8621,13.2759,13.0000,7.1034,3.6552,17.9310
2003,1443,w kentucky,,52,13,0,12,23,8,0,1,10,0,15,0,5,7,3,1,73.0968,66.4194,25.7097,55.9032,7.7097,21.0323,13.9677,21.0968,12.1613,23.2581,14.1935,15.1613,7.0645,3.5484,18.4516,24.2903,55.9677,4.6129,15.5484,13.2258,19.0968,11.3548,21.6129,12.0000,15.7419,5.9677,2.5484,19.4194
2003,1447,wagner,,188,15,0,1,21,10,0,2,8,2,14,1,7,9,0,0,75.5484,71.4516,27.2258,57.6774,7.0323,18.3226,14.0645,19.2903,12.0000,22.3548,16.0968,14.9677,7.5161,2.8065,17.5806,26.3871,57.2581,6.1290,16.3226,12.5484,17.3871,10.9355,21.3548,14.0000,15.4516,7.4839,2.6129,18.8065
2003,1448,wake forest,8,12,2,1,15,24,5,3,3,8,2,16,0,7,4,1,1,78.4138,67.6207,26.1379,57.2414,6.1034,17.7241,20.0345,26.6207,14.7586,26.9310,14.5862,15.1034,6.4138,4.3793,18.4828,23.6552,59.7586,7.4828,22.2759,12.8276,18.6552,12.4483,19.3448,12.5172,13.6207,7.3793,3.2414,22.0345
2003,1451,weber st,,60,12,0,6,25,4,0,0,10,0,12,0,9,3,4,1,74.2069,67.1724,24.6207,52.8621,6.1034,18.2069,18.8621,25.6897,10.3448,22.7586,14.2759,12.4483,6.7586,0.6552,18.8621,24.7241,54.0690,6.0345,17.4828,11.6897,16.9655,10.1034,21.7241,12.9310,15.5862,5.2414,3.0690,22.1379
2003,1454,milwaukee,,56,12,0,4,23,7,0,2,8,2,12,0,9,6,2,1,77.1000,69.9333,27.2667,57.6333,7.7667,21.8000,14.8000,21.4333,11.5333,23.0000,17.1000,14.8667,8.8000,3.6000,20.1333,23.8667,54.4667,6.0667,17.0000,16.1333,23.1000,11.3000,22.9000,12.9000,17.2667,7.7667,3.5000,21.0333
2003,1458,wisconsin,21,16,5,2,22,22,7,1,3,7,3,16,1,6,5,0,1,70.7241,58.6897,25.0345,53.8966,6.2414,17.3793,14.4138,19.4483,10.3103,22.5517,13.3103,10.5172,6.9655,2.8276,14.8276,22.2069,51.5862,5.0690,14.9310,9.2069,12.6207,8.2069,21.6897,11.1724,13.9655,4.6552,2.6552,18.9655
2003,1462,xavier,12,17,3,1,26,25,5,3,2,9,1,14,1,10,2,1,2,78.2333,65.9667,26.8000,59.2000,6.4333,17.7667,18.2000,24.3667,13.9333,25.5000,16.4000,13.0333,5.4667,3.0333,15.7667,25.2000,61.6333,6.2333,19.5333,9.3333,14.0667,12.2667,21.3333,12.2667,14.0000,6.5667,2.8000,20.1667
2004,1102,air force,,47,11,0,2,22,6,0,0,7,3,13,0,8,5,1,1,60.1786,50.4286,20.2857,42.0357,8.4643,22.2143,11.1429,15.7143,6.1429,15.3571,13.2500,10.7857,7.7857,2.3571,16.6429,18.1429,40.3571,3.1786,11.0714,10.9643,15.3214,9.2857,18.5357,8.3214,16.4286,4.4643,1.7500,18.1071
2004,1104,alabama,,34,8,3,16,17,12,2,4,6,4,11,4,4,6,2,2,72.2069,67.4483,24.8966,55.0000,7.1379,18.6207,15.2759,21.8621,11.3103,24.0000,11.8621,13.2759,6.4483,3.1034,18.3448,23.2759,55.9310,7.2759,20.8621,13.6207,19.4828,11.5172,22.1034,11.3448,13.4483,5.0000,3.4138,20.1724
2004,1106,alabama st,,278,16,0,4,16,14,0,0,9,1,7,4,5,9,4,1,61.4333,60.6000,20.5667,48.7333,5.5333,16.5667,14.7667,22.4667,11.7000,22.7667,10.2667,17.2000,7.0667,3.1333,18.7000,21.1667,51.9667,5.7333,16.3000,12.5333,20.0333,11.3333,20.0333,11.6333,15.3333,8.0333,3.0667,19.9333
2004,1112,arizona,22,33,9,0,32,20,9,1,2,6,4,13,2,5,5,2,2,87.5172,78.4138,31.5172,65.0000,7.3793,19.2069,17.1034,21.7586,13.8966,25.6897,18.8966,14.9655,6.9655,4.5517,16.0690,28.8966,65.6207,8.1034,22.3793,12.5172,17.7586,13.5862,21.6552,17.4483,15.6207,7.2414,2.1379,19.4483
2004,1130,boston college,25,40,6,1,11,23,9,3,6,8,2,13,3,5,5,5,1,68.7500,63.7500,24.2500,53.4688,3.7500,11.7500,16.5000,24.3125,12.8125,23.7188,15.9063,13.3750,7.0313,3.0313,15.9063,23.2500,57.5625,5.9375,18.3438,11.3125,16.1250,13.2188,20.2188,12.4063,14.0313,7.1875,3.5938,19.9688
2004,1140,brigham young,,31,12,0,18,19,8,1,2,9,1,11,0,5,7,3,1,72.1852,65.3704,25.1852,51.7407,5.3704,15.5556,16.4444,22.5556,9.9630,23.4444,14.6667,14.0000,7.1852,3.2593,19.1111,23.5556,52.2222,5.7407,16.7778,12.5185,18.2593,8.7407,19.9630,12.5185,14.6667,6.7407,2.1111,19.7407
2004,1150,charlotte,,39,9,0,10,21,8,3,2,7,3,10,3,10,4,1,1,79.3448,71.4483,27.1379,60.2414,7.7931,22.6897,17.2759,26.7931,14.7586,26.1724,16.2069,15.3103,8.7241,2.9655,18.8966,25.1034,60.5862,6.8276,21.1034,14.4138,19.9655,12.2759,23.8621,13.7241,15.6552,6.6897,2.1379,21.8966
2004,1153,cincinnati,11,15,4,1,23,24,6,1,1,7,3,15,1,6,5,3,0,76.9000,62.9000,27.0333,59.1000,7.2333,18.8000,15.6000,23.3667,13.1333,24.1333,16.0333,12.1000,7.9000,5.0667,19.4333,20.3333,52.7000,6.1333,18.8333,16.1000,22.6667,11.1000,22.5000,10.4333,17.0667,5.4333,1.9667,20.3333
